wix_id,wix_producto,dux_codigo,dux_producto,factor
30de39be-87fc-1981-cbc5-1657a52cdc41,REPOLLO ROJO - UNIDAD,0221,REPOLLO ROJO - UNIDAD,1.0
ae166f72-80bf-7f9c-eef5-8a3f98add0b3,RUCULA - ATADO,0223,RUCULA - ATADO,1.0
f8a0bb4c-3240-b7f1-869d-82b42afbe24d,TOMATE CHERRY - 1/2 KG,0229,TOMATE CHERRY - KG,0.5
8064c9ef-8392-62ea-82e0-8610f0b3f6f3,TOMATE PERITA - KG,0231,TOMATE PERITA - KG,1.0
f451f7a3-e2e8-81c0-e0b3-e08f8e6a3ab3,TOMATE REDONDO - KG,0233,TOMATE REDONDO - KG,1.0
daa20b67-2c1b-48ca-eeb2-62806ecd8fdf,TOMATE TRITURADO - LITRO,0236,TOMATE TRITURADO - LITRO,1.0
42cc98c7-2678-3768-fac0-898c9be8e5c9,UVAS NEGRAS - KG,0239,UVAS NEGRAS - KG,1.0
a08342a2-e496-01b9-d4a8-d1f3b4c3873c,VERDEO - 1/4 KG,0241,VERDEO - ATADO,0.25
563a1db3-3540-9029-77c5-7f07a9fd61d3,VERDURAS SOPA - BANDEJA,0242,VERDURAS SOPA - BANDEJA,1.0
e3de173f-d599-3b01-5fe8-c774ffe2236e,ZANAHORIA - KG,0244,ZANAHORIA - KG,1.0
6e35ab69-bd39-df98-2500-579e7a67ec37,ZAPALLITO - KG,0246,ZAPALLITO - KG,1.0
085d80bf-2cd8-f6e6-4e2d-c5ca664f1e6c,ZUCCHINI - KG,0248,ZUCCHINI - KG,1.0
